ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
117,"dell latitude d820 c2d 2160 2048mb, 80gb, dvd+-r/cdrw, wifi, xph, 15.4"",dell computers,d820,593960",dell, intel core duo,1.83,intel,microsoft windows xp home,2 gb,quadro nvs 110m,160 gb,15.4,1680,1050,6
118,"hp 2140 mini-note - atom n270 / 1.6 ghz - ram 2 gb - hdd 160 gb - gma 950 - gigabit ethernet - wlan : bluetooth 2.0 edr, 802.11 a/b/g/n,hewlett packard,ks146ut#aba",hp,,,intel,vista business,2 gb,,160 gb,10.1,,,5.2
119,"asus g50vt-b1 15.4-inch laptop,asus,g50vt-b1",asus, intel core 2 duo,2.66,intel,windows vista;,4 gb,nvidia geforce,512 mb,15.4,1680,1050,16.9
120,"dell inspiron 700m,dell computers,700m",dell,,,intel,windows xp;,25 gb,intel extreme graphics 2,80 gb,12.1,,,3
121,"hp pavilion dv7-1129wm entertainment - turion x2 rm-72 / 2.1 ghz - ram 4 gb - hdd 250 gb - dvd?rw (?r dl) / dvd-ram - mobility radeon hd 3200 - wlan : 802.11b/g - vista home premium 64-bit - 17"" widescreen tft 1440 x 900 (wxga+) brightview - webcam,hp,dv7-1129wm",hp, amd turion 64,2.1,intel,windows vista home permium 64-bit,4000 mb,radeon_hd_3,250 gb,17,,,
122,"dell d620 laptop duo core with windows xp,dell computers,latitude d620",,,,,,,,,,,,
123,"thinkpad t400 2767 intel core 2 duo p8600 2.4ghz 802.11a/b/g/draft-n wireless 14.1"" wxga 2gb ddr3 sdram 160gb,lenovo,276731u",,,,,,,,,,,,
124,"hp nc6120 15"" notebook pc,hp,nc6120",hp, intel pentium m,1.73,intel,windows xp;,512 mb,intel gma 900,40 gb,15,1024,768,11
125,"hp 2133 8.9"" wxga 1gb 120gb mini notebook,asus,q7-yjdg-d9ex",asus,,1.2,,windows xp;,1 gb,,120 gb,8.9,,,5
126,"lenovo thinkpad w500 - core 2 duo - t9400 2.53 ghz - 2 gb ddr3,lenovo ??,40613fu",,,,,,,,,,,,
127,"dell studio 1737 (ruby red),dell computers",dell, intel core 2 duo,2,intel,windows vista;,4 gb,integrated_graphics,320 gb,17,,,11.2
