,id,ltable_id,rtable_id
3623,7402406,709067,839834
3624,7402417,619164,839834
3625,7402853,667136,135898
3627,7424676,693121,943467
3631,7436663,227486,727967
3636,7437814,329896,925673
3637,7438413,43071,65024
3674,7462831,464749,42667
3708,7478888,320626,215688
3709,7478899,725171,215688
3711,7490496,610102,165840
3717,7513740,572890,222640
3718,7515912,34646,159600
3725,7516939,148134,465157
3726,7520468,521634,200424
3727,7522998,395230,628572
3728,7523000,544848,628572
3731,7530436,308643,664671
3764,7571650,270181,585813
3765,7572087,281864,780781
3766,7572088,30803,780781
3777,7581554,309926,213097
3779,7591086,300927,640326
3781,7593045,342214,352653
3782,7593471,661717,306812
3791,7612309,406785,298127
3792,7621062,92343,342557
3793,7625044,680321,879726
3794,7633441,397082,423790
3795,7635558,193123,20505
3796,7637285,154875,188836
3803,7656383,582712,725124
3812,7664093,698081,132326
3829,7707870,491345,467658
3832,7716153,543976,182096
3836,7723538,317205,712567
3837,7730833,285146,534257
3838,7730840,626820,534257
3843,7737321,91061,151495
3876,7798507,556622,316929
3877,7799758,303608,511758
3885,7817450,315845,843434
3886,7821936,421503,67267
3889,7824674,491030,452854
3893,7828471,697323,295285
3894,7829606,217176,64860
3895,7835268,608027,430660
3897,7850354,320176,499335
3898,7851014,364482,228549
3904,7863013,541107,451198
3910,7870844,376775,671621
3912,7876038,171936,868963
3916,7891630,671571,158054
3924,7903939,45720,455901
3934,7930390,699659,841322
3937,7934618,41192,219197
3938,7959578,539826,507665
3940,7966596,727455,407601
3962,7991231,439343,899988
3963,8008332,404036,401518
3964,8017303,138561,597151
3965,8017308,484491,597151
3966,8017309,376209,597151
3976,8058031,437725,176123
3978,8058219,304098,569725
3979,8071839,405038,619353
3980,8073636,715547,84827
3981,8073637,598909,84827
3982,8073639,538601,84827
3983,8073699,254018,99369
3985,8075983,51402,840485
3990,8079366,458337,163536
3991,8081409,684266,722727
3992,8081411,694764,722727
3993,8081412,314530,722727
3994,8084165,298545,578006
3996,8086943,586369,183820
4001,8096200,657167,737282
4002,8096489,539937,406874
4008,8109509,412338,577029
4017,8129053,302338,2605
4018,8129054,584321,2605
4021,8142181,442476,351112
4026,8160795,482286,770407
4027,8161761,167619,938412
4030,8177329,202543,685756
4032,8179802,610656,148285
4035,8182118,261756,349582
4044,8205044,628021,317494
4048,8210917,226662,279706
4049,8211431,523650,261937
4051,8224088,363356,918901
4057,8247369,493149,891678
4062,8264691,351869,176673
4065,8268333,729870,248873
4081,8271320,286446,542047
4118,8295709,527714,328015
