id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year
1115,5358.0,448918.0,made in chelsea,"[2011, 2007]",made in china,2006.0
1116,5910.0,448918.0,made in chelsea,"[2011, 2009]",made in china,2006.0
1117,1309.0,448918.0,made in chelsea,"[2011, 2010]",made in china,2006.0
1118,5411.0,448918.0,made in chelsea,"[2011, 2009]",made in china,2006.0
1119,314.0,448918.0,made in chelsea,"[2011, 1980]",made in china,2006.0
1120,5998.0,448918.0,made in chelsea,"[2011, 2005]",made in china,2006.0
1121,6016.0,448918.0,made in chelsea,"[2011, 2010]",made in china,2006.0
1122,2990.0,448918.0,made in chelsea,"[2011, 2009]",made in china,2006.0
1123,3002.0,448918.0,made in chelsea,"[2011, 2010]",made in china,2006.0
1141,2378.0,536417.0,carts of darkness,"[2008, 2006]",out of darkness,2010.0
1142,2099.0,29489.0,a walk to beautiful,"[2007, 2005]",a walk to beautiful,2007.0
1143,6497.0,29489.0,a walk to beautiful,"[2007, 2005]",a walk to beautiful,2007.0
1144,6259.0,849337.0,man of the house,2005,wine of the house,2004.0
1146,3223.0,849337.0,man of the house,"[2005, 1962]",wine of the house,2004.0
1147,854.0,736771.0,the lost city,2005,the lost colony,2007.0
1151,6935.0,535431.0,ouija,"[2003, 2002]",ouija,2003.0
1153,5156.0,693378.0,the social network,"[2010, 1996]",the anti-social network,2013.0
1154,5156.0,762475.0,the social network,"[2010, 1996]",the social worker,2013.0
1160,6819.0,760558.0,the shield,"[2002, 2000]",the shield,2002.0
1161,2739.0,760558.0,the shield,2002,the shield,2002.0
1162,4303.0,760558.0,the shield,"[2002, 1977]",the shield,2002.0
1163,7121.0,760558.0,the shield,"[2002, 2003]",the shield,2002.0
1164,4450.0,760558.0,the shield,"[2002, 2004]",the shield,2002.0
1165,4199.0,760558.0,the shield,"[2002, 2000]",the shield,2002.0
1166,7003.0,706011.0,the master,2012,the control master,2008.0
1203,2973.0,813999.0,union,"[2013, 1973]",union,2011.0
1205,6235.0,691658.0,the look of love,"[2013, 1996]",the act of love,2010.0
1206,4953.0,691658.0,the edge of love,2008,the act of love,2010.0
1208,1273.0,451072.0,made of honor,"[2008, 1984]",maid of honor,2003.0
1216,3843.0,768319.0,color war 8: the ties that bind,"[2014, 1993]",the ties that bind,2009.0
1224,4459.0,752916.0,the purifiers,"[2004, 2002]",the purifiers,2004.0
1236,854.0,704269.0,the lost city,2005,the city,2010.0
1237,499.0,448406.0,mad money,"[2008, 1971]",mad money,2008.0
1239,6458.0,743035.0,the motel life,"[2012, 2002]",the motel,2010.0
1240,437.0,664692.0,standing still,"[2005, 1974]",still standing,2005.0
1241,5861.0,18100.0,french film,2008,a french film,2012.0
1243,4295.0,706387.0,the swing of things,"[2013, 1996]",the cost of things,2016.0
1247,4448.0,694824.0,the box,2009,the aztec box,2013.0
1248,4496.0,667905.0,strike!,"[1998, 1965]",strike!,1965.0
1249,636.0,114679.0,buddy,"[2003, 2002]",buddy,1997.0
1254,3356.0,538295.0,p & b,"[1983, 1998]",p & b,1983.0
1255,600.0,801615.0,tuno negro,"[2001, 2000]",tuno negro,2001.0
1256,996.0,97809.0,bird,1988,bird,1988.0
1257,17.0,698578.0,the bleeding,"[2011, 2008]",the bleeding,2011.0
1258,3217.0,698578.0,the bleeding,"[2011, 2008]",the bleeding,2011.0
1260,3271.0,344918.0,it takes two,"[2006, 2004]",it takes two to tango,2004.0
1263,1345.0,167328.0,dark blue,2016,dark blue,2016.0
1270,5531.0,134007.0,cheaper by the dozen 2,2005,cheaper by the dozen,2003.0
1273,47.0,858143.0,year of the dog,2007,year of the rat,2011.0
1292,939.0,108902.0,boy eats girl,"[2005, 2003]",boy greets girl,2008.0
1293,114.0,108902.0,boy eats girl,"[2005, 2003]",boy greets girl,2008.0
1300,5110.0,809868.0,unreal,"[2015, 2006]",unreal,2015.0
1301,944.0,49348.0,alvin and the chipmunks,"[2007, 1980]",alvin and the chipmunks: the squeakquel,2009.0
1306,7003.0,740342.0,the master,2012,the master,2012.0
1307,1869.0,125913.0,carne,1991,carne,1991.0
1331,5197.0,247650.0,finding the funk,2013,finding the funny,2012.0
1332,94.0,247650.0,finding the funk,2013,finding the funny,2012.0
1336,5749.0,697876.0,the bag man,"[2014, 1969]",the bird man,2016.0
1337,7068.0,732911.0,the last sect,2006,the last post,2011.0
1338,3538.0,732911.0,the last sect,"[2006, 2004]",the last post,2011.0
1352,3998.0,51107.0,american beauty,1999,american beauty,1999.0
1353,7080.0,51107.0,american beauty,"[1999, 1998]",american beauty,1999.0
1354,2856.0,723195.0,the greatest,"[2009, 2007]",the greatest victory,2013.0
1362,5843.0,824216.0,vertige,"[2009, 1995]",vertige,2008.0
